color,from,nikename,parent,subparent,l,a,b
紫梅,故宫里的色彩美学_郭浩,,赤,紫,61.17313311,35.53429456,3.34380693
紫矿,故宫里的色彩美学_郭浩,,赤,紫,46.58338066,43.07305185,15.61187696
紫花布,故宫里的色彩美学_郭浩,,白,紫,71.06530155,7.264744746,18.90459515
紫杉绿,中国色名综览_凑幸卫,,黑,紫,33.62058343,-21.10681967,15.21051759
蓝光甲基紫,中国色名综览_凑幸卫,,黑,紫,43.92935041,16.70004341,-40.02084936
紫蓝,钧瓷色彩的特征与分类体系研究_王庆斌,,黑,紫,7.152926203,26.96018088,-21.99191542
暮山紫,故宫里的色彩美学_郭浩,,白,紫,71.17091091,6.470452328,-24.28254997
紫苑,故宫里的色彩美学_郭浩,,青,紫,54.04337196,13.09810222,-36.37036356
黛紫,中国传统色彩图鉴_鸿洋,,黑,紫,23.30955672,34.95903006,-49.27886729
紫檀色,中国传统色彩图鉴_鸿洋,,黑,紫,7.989688157,20.74204588,9.872093179
紫草色,中国传统色彩图鉴_鸿洋,,黑,紫,23.42121972,47.76068791,-66.17596585
丁香紫,国标GB/T 31430-2015,丁香紫 明：丁香,白,紫,70.9,12.1,-17.8
丁香紫,DIC中国传统色,丁香紫 明：丁香,黑,紫,40.49317678,15.53981103,-12.77315221
丁香紫,钧瓷色彩的特征与分类体系研究_王庆斌,丁香紫 明：丁香,青,紫,74.99878683,-66.99592395,22.63615156
丁香紫,中国美色_中国国家地理,丁香紫 明：丁香,白,紫,70.91943097,38.51478545,-47.22256847
丁香淡紫,perchouli,,白,紫,88.49399898,10.05612406,-1.845974954
丁香淡紫,中国色名综览_凑幸卫,,白,紫,81.33361194,23.30438266,-14.20213338
淡紫,国标GB/T 31430-2015,淡紫,青,紫,62.5,7,-33.2
淡紫,中国传统色彩图鉴_鸿洋,淡紫,白,紫,85.36884974,16.07838334,-23.99093501
粉紫,国标GB/T 31430-2015,粉紫,白,紫,65.9,11.8,-27
紫粉,国标GB/T 31430-2015,紫粉,白,紫,65.9,11.8,-27
青莲紫,乾隆色谱,,黑,紫,42,19,-14
青莲紫,DIC中国传统色,,赤,紫,44.32906044,46.00888729,-33.977576
紫,国标GB/T 31430-2015,紫,黑,紫,42.5,17.4,-35
紫,染作江南春水色_金成熺,紫,黑,紫,31.12,6.82,-2.58
紫,古色之美_青简,紫,赤,紫,43.95651243,47.77988083,-32.09325939
茄紫,国标GB/T 31430-2015,茄紫 古色：茄色,黑,紫,30.9,11.5,-11.5
茄紫,古色之美_青简,茄紫 古色：茄色,黑,紫,1.037176162,4.525140949,-1.623128985
茄紫,绞丝染色基本色谱,茄紫 古色：茄色,黑,紫,46,39,-30
深紫,国标GB/T 31430-2015,深紫,黑,紫,29.4,15.4,-22.9
绛紫,国标GB/T 31430-2015,绛紫,黑,紫,38.6,35.4,-16.5
绛紫,DIC中国传统色,绛紫,黑,紫,33.44487515,14.03293549,5.170334372
绛紫,中国传统色彩图鉴_鸿洋,绛紫,赤,紫,30.90707034,47.77875225,-19.15916971
玫瑰紫2,人造丝绸缎色谱_何进丰,人造丝绸：玫瑰紫,赤,紫,46,41,-3
玫瑰紫,国标GB/T 31430-2015,玫瑰紫,黑,紫,32.9,26.7,-17.4
玫瑰紫,perchouli,玫瑰紫,赤,紫,49.36740388,70.1298668,-4.263933673
玫瑰紫,古色之美_青简,玫瑰紫,赤,紫,55.42066962,88.92084446,-44.31319208
玫瑰紫,人造丝绸缎色谱_何进丰,玫瑰紫,赤,紫,40,55,-4
玫瑰紫,绞丝染色基本色谱,玫瑰紫,黑,紫,31,40,-18
玫瑰紫,钧瓷色彩的特征与分类体系研究_王庆斌,玫瑰紫,黑,紫,22.08773701,6.776731966,-4.331635662
玫瑰紫,中国色名综览_凑幸卫,玫瑰紫,赤,紫,44.18418811,51.07745064,-20.54626394
葡萄紫,国标GB/T 31430-2015,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,31.8,22.5,-19.3
葡萄紫,perchouli,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,19.16721234,28.89621137,11.46115312
葡萄紫,中国颜色_黄仁达,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,20.1883013,46.21495375,-54.17751019
葡萄紫,古色之美_青简,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,9.625747149,26.70683968,-44.64804701
葡萄紫,钧瓷色彩的特征与分类体系研究_王庆斌,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,20.8037771,5.853924895,-5.588137379
葡萄紫,中国色名综览_凑幸卫,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,41.21698588,12.42185484,-0.085884091
葡萄紫,中国传统色彩图鉴_鸿洋,葡萄紫 HRD、鸿洋:葡萄色,黑,紫,20.80240016,44.34249914,-46.71854654
紫铜,国标GB/T 31430-2015,深咖啡：染样3、涤棉（棕紫）a,黑,紫,34.2,15.6,0.1
紫铜,染色样本硫化类_何进丰,深咖啡：染样3、涤棉（棕紫）a,黑,紫,32,8,11
