color,from,l,a,b
褐色,中国颜色_黄仁达,36.436,25.969,36.184
褐色,国标,34.2,13.7,15.2
虹蓝,中国色名综览_凑幸卫,54.5837258184733,5.9922952101325,-41.4844056931567
虹蓝,绞丝染色基本色谱_何进丰,61,-10,-30
虹蓝,人造丝绸缎色谱_何进丰,47,-2,-29
虹蓝,色谱_perchouli,48.229,-1.51,-41.24
湖色,中国色名综览_凑幸卫,74.07263347297,-28.8481117908151,24.462809420631
湖色,涤棉色谱_何进丰,61,-31,-4
湖色,中国传统色彩图鉴_鸿洋,69.431,-27.421,-0.922
湖色,绞丝染色基本色谱_何进丰,75,-28,4
湖色,DIC中国传统色,51.397,-12.883,-1.735
湖色,色谱_perchouli,73.009,-33.462,39.093
湖色,国标,65.6,-39.1,-2
琥珀黄,中国色名综览_凑幸卫,84.9248030425883,17.1159393582501,69.5305638631806
琥珀黄,中国传统色彩图鉴_鸿洋,56.92,28.821,43.308
琥珀黄,中国颜色_黄仁达,62.719,14.765,40.748
琥珀黄,色谱_perchouli,79.733,12.612,81.392
花青,中国色名综览_凑幸卫,53.5530178010396,6.10480988267053,-42.5551007024001
花青,中国美色_中国国家地理,24.936,6.029,-26.277
花青,古色之美_青简,42.448,-14.707,-40.929
花青,故宫里的色彩美学_郭浩,16.464,5.145,-21.222
花青,DIC中国传统色,48.923,0.212,-12.407
花青,色谱_perchouli,47.92,-1.084,-41.15
黄,先秦色彩_肖世孟,68,22,68
黄,古色之美_青简,82.776,4.136,85.66
黄,中国颜色_黄仁达,85.668,0.052,52.861
黄,国标,80.4,3.9,89.9
灰蓝,中国色名综览_凑幸卫,41.2168897705776,-5.46767439359593,-7.81314567856377
灰蓝,中国传统色彩图鉴_鸿洋,67.06,-0.613,-15.871
灰蓝,DIC中国传统色,54.757,-6.838,-5.96
灰蓝,色谱_perchouli,21.552,-6.79,-6.489
灰绿,中国色名综览_凑幸卫,54.1372965688001,1.79321166760665,47.2963472755792
灰绿,DIC中国传统色,58.551,-9.896,-0.302
灰绿,色谱_perchouli,46.385,5.158,48.569
灰绿,国标,63.4,-13.8,18.9
茄皮紫,中国色名综览_凑幸卫,30.6942980350561,27.5028715960166,0.775962242471861
茄皮紫,钧瓷色彩的特征与分类体系研究_王庆斌,21.5274595794738,24.6683332927654,5.96370620361205
茄皮紫,DIC中国传统色,33.005,8.55,-0.093
茄皮紫,色谱_perchouli,7.841,17.765,3.314
姜黄,中国色名综览_凑幸卫,81.3480608624257,-4.89097176273622,55.2654110325171
姜黄,中国传统色彩图鉴_鸿洋,77.42,13.955,39.709
姜黄,中国美色_中国国家地理,54.5,5.794,39.542
姜黄,染色样本纳夫妥类_何进丰,77,22,75
姜黄,染色样本士林类_何进丰,77,22,55
姜黄,故宫里的色彩美学_郭浩,79.085,-6.729,52.038
姜黄,DIC中国传统色,58.744,0.42,41.838
姜黄,色谱_perchouli,78.472,-2.017,73.617
姜黄,国标,55,12.5,40.4
豇豆红,中国色名综览_凑幸卫,65.3127476724293,23.7897702521167,0.134153677493209
豇豆红,中国传统色彩图鉴_鸿洋,51.898,51.236,24.613
豇豆红,钧瓷色彩的特征与分类体系研究_王庆斌,50.6927550303836,64.3704358909166,63.0793680037831
豇豆红,色谱_perchouli,73.113,32.598,1.466
酱色,染色样本纳夫妥类_何进丰,25,16,-2
酱色,古色之美_青简,24.438,27.553,16.02
酱色,中国颜色_黄仁达,24.88,5.93,3.477
酱色,DIC中国传统色,37.174,4.854,15.987
酱色,乾隆色谱_刘剑,23,13,7
酱紫,中国色名综览_凑幸卫,30.6947802318639,27.2172964545573,4.48278126038099
酱紫,中国美色_中国国家地理,40.399,21.082,-10.582
酱紫,色谱_perchouli,15.565,28.871,11.54
酱紫,国标,29.4,23.9,4.6
金黄,钧瓷色彩的特征与分类体系研究_王庆斌,86.2244105466388,5.4768179329474,64.7820239356279
金黄,染色样本纳夫妥类_何进丰,57,54,60
金黄,中国颜色_黄仁达,77.584,3.333,73.308
金黄,故宫里的色彩美学_郭浩,53.226,20.758,39.474
金黄,乾隆色谱_刘剑,65,19,71
金黄,色谱_perchouli,64.28,40.615,65.026
金黄,国标,70.3,18.9,52.4
金棕,中国传统色彩图鉴_鸿洋,30.037,42.206,29.268
金棕,古色之美_青简,42.229,32.904,35.629
金棕,中国颜色_黄仁达,42.847,20.866,21.734
金棕,国标,55.4,22,21.1
景泰蓝,中国色名综览_凑幸卫,65.3236715462746,5.77538771046276,-41.5096451114646
景泰蓝,中国色名综览_凑幸卫,51.5665688297759,16.0240100505315,-40.508905316972
景泰蓝,中国美色_中国国家地理,71.745,-25.409,59.9
景泰蓝,中国颜色_黄仁达,33.088,2.703,-47.147
景泰蓝,色谱_perchouli,47.662,-0.423,-40.973
桔红,涤棉色谱_何进丰,60,52,30
桔红,涤棉色谱_何进丰,55,58,40
桔红,绞丝染色基本色谱_何进丰,61,49,37
桔红,染色样本士林类_何进丰,59,16,19
桔红,国标,58.1,53.1,55.9
桔黄,涤棉色谱_何进丰,61,39,44
桔黄,绞丝染色基本色谱_何进丰,66,45,42
桔黄,染色样本士林类_何进丰,68,18,30
桔黄,DIC中国传统色,60.078,26.433,43.627
桔黄,国标,69.1,41.3,52.4
孔雀蓝,中国色名综览_凑幸卫,61.4738003175828,-18.2362712355281,-28.0940124773127
孔雀蓝,中国传统色彩图鉴_鸿洋,60.886,-22.163,-24.273
孔雀蓝,钧瓷色彩的特征与分类体系研究_王庆斌,22.823413655355,8.28899509451583,-30.492560502077
孔雀蓝,绞丝染色基本色谱_何进丰,45,-28,-32
孔雀蓝,人造丝绸缎色谱_何进丰,58,-31,-22
孔雀蓝,中国颜色_黄仁达,25.019,19.084,-38.556
孔雀蓝,故宫里的色彩美学_郭浩,58.583,-8.563,-31.76
